2007;01;21;ΠΑΡΑΓΧΓΖ ΥΑΡΣΟΠΟΛΣΟΤ.ΥΑΡΣΗΟΤ ΚΑΗ ΠΡΟΗΟΝΣΧΝ ΑΠΌ ΥΑΡΣΗ;318;647;320;967;0.25;24.14;23.58;23.96;37.75;34.77;36.78;MANUFACTURE OF PULP.PAPER AND PAPER PRODUCTS;
2007;01;22;ΔΚΓΟ΢ΔΗ΢.ΔΚΣΤΠΧ΢ΔΗ΢ ΚΑΗ ΑΝΑΠΑΡΑΓΧΓΖ ΠΡΟΔΓΓΔΓΡΑΜΜΔΝΧΝ ΜΔ΢ΧΝ ΔΓΓΡΑΦΖ΢ ΖΥΟΤ ΚΑΗ ΔΗΚΟΝΑ΢ ΚΑΗ ΜΔ΢ΧΝ ΠΛΖΡΟΦΟΡΗΚΖ΢;2199;2757;2432;5189;1.35;24.29;24.16;24.23;42.89;38.60;40.89;PUBLISHING. PRINTING AND REPRODUCTION OF RECORDED MEDIA;
2007;01;23;ΠΑΡΑΓΧΓΖ ΟΠΣΑΝΘΡΑΚΑ (ΚΧΚ).ΠΡΟΗΟΝΣΧΝ ΓΗΤΛΗ΢Ζ΢ ΠΔΣΡΔΛΑΗΟΤ ΚΑΗ ΠΤΡΖΝΗΚΧΝ ΚΑΤ΢ΗΜΧΝ;52;100;34;134;0.03;23.74;23.56;23.69;50.45;44.33;48.91;MANUFACTURE OF COKE. REFINED PETROLEUM PRODUCTS AND NUCLEAR FUEL;
2007;01;24;ΠΑΡΑΓΧΓΖ ΥΖΜΗΚΧΝ ΟΤ΢ΗΧΝ ΚΑΗ ΠΡΟΗΟΝΣΧΝ;426;843;358;1201;0.31;23.76;23.81;23.77;43.27;41.66;42.79;MANUFACTURE OF CHEMICALS AND CHEMICALS PRODUCTS;
2007;01;25;ΚΑΣΑ΢ΚΔΤΖ ΠΡΟΗΟΝΣΧΝ ΑΠΌ ΔΛΑ΢ΣΗΚΟ (ΚΑΟΤΣ΢ΟΤΚ) ΚΑΗ ΠΛΑ΢ΣΗΚΔ΢ ΤΛΔ΢;646;1483;481;1964;0.51;23.76;23.59;23.72;39.05;36.97;38.54;MANUFACTURE OF RUBBER AND PLASTIC PRODUCTS;
2007;01;26;ΚΑΣΑ΢ΚΔΤΖ ΑΛΛΧΝ ΠΡΟΗΟΝΣΧΝ ΑΠΌ ΜΖ ΜΔΣΑΛΛΗΚΑ ΟΡΤΚΣΑ;1816;3759;493;4252;1.11;22.52;23.72;22.66;39.11;35.32;38.65;MANUFACTURE OF OTHER NON- METALLIC MINERAL PRODUCTS;
2007;01;27;ΠΑΡΑΓΧΓΖ ΒΑ΢ΗΚΧΝ ΜΔΣΑΛΛΧΝ;213;524;88;612;0.16;23.48;23.76;23.52;41.38;37.23;40.78;MANUFACTURE OF BASIC METALS;
2007;01;28;ΚΑΣΑ΢ΚΔΤΖ ΜΔΣΑΛΛΗΚΧΝ ΠΡΟΗΟΝΣΧΝ.ΜΔ ΔΞΑΗΡΔ΢Ζ ΣΑ ΜΖΥΑΝΖΜΑΣΑ ΚΑΗ ΣΑ ΔΗΓΖ ΔΞΟΠΛΗ΢ΜΟΤ;4881;9611;1057;10668;2.78;23.21;23.64;23.25;38.52;34.45;38.11;MANUFACTURE OF FABRICATED METAL PRODUCTS. EXCEPT MACHINERY AND EQUIPMENT;
2007;01;29;ΚΑΣΑ΢ΚΔΤΖ ΜΖΥΑΝΖΜΑΣΧΝ ΚΑΗ ΔΗΓΧΝ ΔΞΟΠΛΗ΢ΜΟΤ ΜΑΚ;2179;4878;622;5500;1.44;23.77;24.07;23.80;40.80;37.07;40.38;MANUFACTURE OF MACHINERY AND EQUIPMENT;
2007;01;30;ΚΑΣΑ΢ΚΔΤΖ ΜΖΥΑΝΧΝ ΓΡΑΦΔΗΟΤ ΚΑΗ ΖΛΔΚΣΡΟΝΗΚΧΝ ΤΠΟΛΟΓΗ΢ΣΧΝ;63;106;26;132;0.03;23.62;23.50;23.60;42.10;42.65;42.21;MANUFACTURE OF OFFICE MACHINERY AND COMPUTERS;
2007;01;31;ΚΑΣΑ΢ΚΔΤΖ ΖΛΔΚΣΡΗΚΧΝ ΜΖΥΑΝΧΝ ΚΑΗ ΢Τ΢ΚΔΤΧΝ ΜΑΚ;624;1231;266;1497;0.39;24.23;23.89;24.17;37.92;36.57;37.68;MANUFACTURE OF ELECTRICAL MACHINERY AND APPARATUS NEC;
2007;01;32;ΚΑΣΑ΢ΚΔΤΖ ΔΞΟΠΛΗ΢ΜΟΤ ΚΑΗ ΢Τ΢ΚΔΤΧΝ ΡΑΓΗΟΦΧΝΗΑ΢. ΣΖΛΔΟΡΑ΢Ζ΢ ΚΑΗ ΔΠΗΚΟΗΝΧΝΗΧΝ;189;292;109;401;0.10;24.01;24.19;24.06;39.61;33.91;38.05;MANUFACTURE OF RADIO TELEVISION AND COMMUNICATION EQUIPMENT AND APPARATUS;
2007;01;33;ΚΑΣΑ΢ΚΔΤΖ ΗΑΣΡΗΚΧΝ ΟΡΓΑΝΧΝ. ΟΡΓΑΝΧΝ ΑΚΡΗΒΔΗΑ΢ ΚΑΗ ΟΠΣΗΚΧΝ ΟΡΓΑΝΧΝ. ΚΑΣΑ΢ΚΔΤΖ ΡΟΛΟΓΗΧΝ ΚΆΘΔ ΔΗΓΟΤ΢;630;814;423;1237;0.32;24.50;24.28;24.42;36.68;33.95;35.75;MANUFACTURE OF MEDICAL. PRECISION AND OPTICAL INSTRUMENTS. WATCHES AND CLOCKS;
2007;01;34;ΚΑΣΑ΢ΚΔΤΖ ΑΤΣΟΚΗΝΖΣΧΝ ΟΥΖΜΑΣΧΝ. ΚΑΣΑ΢ΚΔΤΖ ΡΤΜΟΤΛΚΟΤΜΔΝΧΝ ΚΑΗ ΖΜΗΡΤΜΟΤΛΚΟΤΜΔΝΧΝ ΟΥΖΜΑΣΧΝ;165;343;31;374;0.10;23.92;23.77;23.91;41.66;38.32;41.38;MANUFACTURE OF MOTOR VEHICLES. TRAILERS AND SEMI- TRAILERS;
2007;01;35;ΚΑΣΑ΢ΚΔΤΖ ΛΟΗΠΟΤ ΔΞΟΠΛΗ΢ΜΟΤ ΜΔΣΑΦΟΡΧΝ;445;1041;138;1179;0.31;20.21;23.41;20.58;50.50;37.63;48.79;MANUFACTURE OF OTHER TRANSPORT EQUIPMENT;
2007;01;36;ΚΑΣΑ΢ΚΔΤΖ ΔΠΗΠΛΧΝ. ΛΟΗΠΔ΢ ΒΗΟΜΖΥΑΝΗΔ΢ ΜΑΚ;3067;5312;1279;6591;1.72;23.15;23.44;23.21;38.24;35.11;37.62;MANUFACTURE OF FURNITURE; MANUFACTURING NEC;
2007;01;37;ΑΝΑΚΤΚΛΧ΢Ζ;66;151;32;183;0.05;23.60;23.88;23.65;39.34;36.62;38.86;RECYCLING;
2007;01;40;ΠΑΡΟΥΖ ΖΛΔΚΣΡΗΚΟΤ ΡΔΤΜΑΣΟ΢ ΦΤ΢ΗΚΟΤ ΑΔΡΗΟΤ.ΑΣΜΟΤ ΚΑΗ ΕΔ΢ΣΟΤ ΝΔΡΟΤ;189;295;85;380;0.10;24.60;23.48;24.35;52.18;44.46;50.52;ELECTRICITY. GAS STEAM AND HOT WATER SUPPLY;
2007;01;ΚΩΓ COD;Οικονομική Γραζηηριόηηηα;Αριθμός  Δπιτειρήζεων No of Enterprises;Αριθμός Number;of Insured;Αζθαλιζμένων Individuals;(2) (2);Μέζη Average;Απαζτόληζη Employment per Month);(3) (Days (3);Μέζο;Ζμερομίζθιο Average Wage;(3) (3);Economic Activity;
2007;01;NA;NA;;Άνδρες Males;Γσναίκες Females;΢ύνολο Total;%;Άνδρες Males;Γσναίκες Females;΢ύνολο Total;Άνδρες Males;Γσναίκες Females;΢ύνολο Total;NA;
2007;01;41;΢ΤΛΛΟΓΖ. ΚΑΘΑΡΗ΢ΜΟ΢ ΚΑΗ ΓΗΑΝΟΜΖ ΝΔΡΟΤ;269;495;208;703;0.18;24.15;24.09;24.13;49.27;49.42;49.32;COLLECTION. PURIFICATION AND DISTRIBUTION OF WATER;
2007;01;45;ΚΑΣΑ΢ΚΔΤΔ΢;13893;21118;4019;25137;6.56;22.73;23.91;22.92;37.55;38.29;37.67;CONSTRUCTION;
2007;01;50;ΔΜΠΟΡΗΟ. ΢ΤΝΣΖΡΖ΢Ζ ΚΑΗ ΔΠΗ΢ΚΔΤΖ ΑΤΣΟΚΗΝΖΣΧΝ ΟΥΖΜΑΣΧΝ ΚΑΗ ΜΟΣΟ΢ΤΚΛΔΣΧΝ. ΛΗΑΝΗΚΖ ΠΧΛΖ΢Ζ ΚΑΤ΢ΗΜΧΝ ΟΥΖΜΑΣΧΝ;11999;18857;3087;21944;5.73;24.11;24.04;24.10;37.02;34.50;36.66;SALE. MAINTENANCE AND REPAIR OF MOTOR VEHICLES AND MOTORCYCLES; RETAIL SALE OF AUTOMOTIVE FUEL;
2007;01;51;ΥΟΝΓΡΗΚΟ ΔΜΠΟΡΗΟ ΚΑΗ ΔΜΠΟΡΗΟ ΜΔ ΠΡΟΜΖΘΔΗΑ. ΔΚΣΟ΢ ΑΠΌ ΣΟ ΔΜΠΟΡΗΟ ΑΤΣΟΚΗΝΖΣΧΝ ΟΥΖΜΑΣΧΝ ΚΑΗ ΜΟΣΟ΢ΤΚΛΔΣΧΝ;22675;36001;17523;53524;13.97;24.17;24.08;24.14;39.68;38.15;39.18;WHOLESALE TRADE AND COMMISSION TRADE. EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES;
2007;01;52;ΛΗΑΝΗΚΟ ΔΜΠΟΡΗΟ. ΔΚΣΟ΢ ΑΠΌ ΣΟ ΔΜΠΟΡΗΟ ΑΤΣΟΚΗΝΖΣΧΝ ΟΥΖΜΑΣΧΝ ΚΑΗ ΜΟΣΟ΢ΤΚΛΔΣΧΝ. ΔΠΗ΢ΚΔΤΖ ΔΗΓΧΝ ΑΣΟΜΗΚΖ΢ ΚΑΗ ΟΗΚΗΑΚΖ΢ ΥΡΖ΢Ζ΢;35956;18003;35265;53268;13.90;24.11;24.04;24.06;35.21;34.82;34.95;RETAIL TRADE. EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES; REPAIR OF PERSONAL AND HOUSEHOLD GOODS;
2007;01;55;ΞΔΝΟΓΟΥΔΗΑ ΚΑΗ Δ΢ΣΗΑΣΟΡΗΑ;20216;15710;15584;31294;8.17;20.41;20.40;20.41;37.53;34.46;36.00;HOTELS AND RESTAURANTS;
2007;01;60;ΥΔΡ΢ΑΗΔ΢ ΜΔΣΑΦΟΡΔ΢ΜΔΣΑΦΟΡΔ΢ ΜΔ΢Χ ΑΓΧΓΧΝ;9304;11823;964;12787;3.34;23.60;23.77;23.61;37.57;35.63;37.43;LAND TRANSPORT. TRANSPORT VIA PIPELINES;
2007;01;61;ΤΓΑΣΗΝΔ΢ ΜΔΣΑΦΟΡΔ΢;498;679;592;1271;0.33;24.52;24.55;24.53;66.75;55.84;61.67;WATER TRANSPORT;
2007;01;62;ΔΝΑΔΡΗΔ΢ ΜΔΣΑΦΟΡΔ΢;37;50;58;108;0.03;24.88;24.47;24.66;99.06;62.72;79.70;AIR TRANSPORT;
2007;01;63;ΒΟΖΘΖΣΗΚΔ΢ ΚΑΗ ΢ΤΝΑΦΔΗ΢ ΠΡΟ΢ ΣΗ΢ ΜΔΣΑΦΟΡΔ΢ ΓΡΑ΢ΣΖΡΗΟΣΖΣΔ΢. ΓΡΑ΢ΣΖΡΗΟΣΖΣΔ΢ ΣΑΞΗΓΗΧΣΗΚΧΝ ΠΡΑΚΣΟΡΔΗΧΝ;3539;4307;4175;8482;2.21;24.20;24.32;24.26;49.24;44.40;46.85;SUPPORTING AND AUXILIARY ACTIVITIES; ACTIVITIES OF TRAVEL AGENCIES;
2007;01;64;ΣΑΥΤΓΡΟΜΔΗΑ ΚΑΗ ΣΖΛΔΠΗΚΟΗΝΧΝΗΔ΢;931;1271;825;2096;0.55;23.23;23.81;23.46;37.43;34.50;36.26;POST AND TELECOMMUNICATIONS;
2007;01;65;ΔΝΓΗΑΜΔ΢ΟΗ ΥΡΖΜΑΣΟΠΗ΢ΣΧΣΗΚΟΗ ΟΡΓΑΝΗ΢ΜΟΗ. ΜΔ ΔΞΑΗΡΔ΢Ζ ΣΗ΢ Α΢ΦΑΛΗ΢ΣΗΚΔ΢ ΔΣΑΗΡΔΗΔ΢ ΚΑΗ ΣΑ ΣΑΜΔΗΑ ΢ΤΝΣΑΞΔΧΝ;132;128;205;333;0.09;24.36;24.16;24.24;86.54;49.96;64.09;FINANCIAL INTERMEDIATION. EXCEPT INSURANCE AND PENSION FUNDING;
2007;01;66;Α΢ΦΑΛΗ΢ΔΗ΢ ΚΑΗ ΢ΤΝΣΑΞΗΟΓΟΣΗΚΑ ΣΑΜΔΗΑ. ΔΚΣΟ΢ ΑΠΌ ΣΖΝ ΤΠΟΥΡΔΧΣΗΚΖ ΚΟΗΝΧΝΗΚΖ Α΢ΦΑΛΗ΢Ζ;414;141;462;603;0.16;24.14;24.34;24.30;47.89;36.84;39.40;INSURANCE AND PENSION FUNDING. EXCEPT COMPULSORY SOCIAL SECURITY;
2007;01;67;ΓΡΑ΢ΣΖΡΗΟΣΖΣΔ΢ ΢ΤΝΑΦΔΗ΢ ΜΔ ΣΗ΢ ΓΡΑ΢ΣΖΡΗΟΣΖΣΔ΢ ΔΝΓΗΑΜΔ΢ΧΝ ΥΡΖΜΑΣΟΠΗ΢ΣΧΣΗΚΧΝ ΟΡΓΑΝΗ΢ΜΧΝ;1076;572;1346;1918;0.50;24.34;24.18;24.23;55.83;41.46;45.77;ACTIVITIES AUXILIARY TO FINANCIAL INTERMEDIATION;
2007;01;70;ΓΡΑ΢ΣΖΡΗΟΣΖΣΔ΢ ΢ΥΔΣΗΚΔ΢ ΜΔ ΑΚΗΝΖΣΖ ΠΔΡΗΟΤ΢ΗΑ;1148;678;1019;1697;0.44;24.47;24.05;24.22;55.68;41.91;47.47;REAL ESTATE ACTIVITIES;
2007;01;71;ΔΚΜΗ΢ΘΧ΢Ζ ΜΖΥΑΝΖΜΑΣΧΝ ΚΑΗ ΔΞΟΠΛΗ΢ΜΟΤ ΥΧΡΗ΢ ΥΔΗΡΗ΢ΣΖ. ΔΚΜΗ΢ΘΧ΢Ζ ΔΗΓΧΝ ΑΣΟΜΗΚΖ΢ ΚΑΗ ΟΗΚΗΑΚΖ΢ ΥΡΖ΢Ζ΢;954;719;925;1644;0.43;23.48;23.98;23.76;35.44;31.12;32.99;RENTING OF MACHINERY AND EQUIPMENT WITHOUT OPERATOR AND OF PERSONAL AND HOUSEHOLD GOODS;
2007;01;ΚΩΓ COD;Οικονομική Γραζηηριόηηηα;Αριθμός  Δπιτειρήζεων No of Enterprises;Αριθμός Number;of Insured;Αζθαλιζμένων Individuals;(2) (2);Μέζη Average;Απαζτόληζη Employment per Month);(3) (Days (3);Μέζο;Ζμερομίζθιο Average Wage;(3) (3);Economic Activity;
2007;01;NA;NA;;Άνδρες Males;Γσναίκες Females;΢ύνολο Total;%;Άνδρες Males;Γσναίκες Females;΢ύνολο Total;Άνδρες Males;Γσναίκες Females;΢ύνολο Total;NA;
2007;01;72;ΠΛΖΡΟΦΟΡΗΚΖ ΚΑΗ ΢ΤΝΑΦΔΗ΢ ΓΡΑ΢ΣΖΡΗΟΣΖΣΔ΢;1474;2129;1159;3288;0.86;24.11;24.12;24.11;47.93;41.23;45.57;COMPUTER AND RELATED ACTIVITIES;
2007;01;73;ΔΡΔΤΝΑ ΚΑΗ ΑΝΑΠΣΤΞΖ;206;159;294;453;0.12;24.40;23.73;23.96;65.33;45.30;52.46;RESEARCH AND DEVELOPMENT;
2007;01;74;ΆΛΛΔ΢ ΔΠΗΥΔΗΡΖΜΑΣΗΚΔ΢ ΓΡΑ΢ΣΖΡΗΟΣΖΣΔ΢;17134;7634;16578;24212;6.32;23.91;24.15;24.08;43.55;38.85;40.32;OTHER BUSINESS ACTIVITIES;
2007;01;75;ΓΖΜΟ΢ΗΑ ΓΗΟΗΚΖ΢Ζ ΚΑΗ ΑΜΤΝΑ. ΤΠΟΥΡΔΧΣΗΚΖ ΚΟΗΝΧΝΗΚΖ Α΢ΦΑΛΗ΢Ζ;1737;1311;2530;3841;1.00;27.28;26.45;26.74;47.53;47.51;47.52;PUBLIC ADMINISTRATION AND DEFENCE ; COMPULSORY SOCIAL SECURITY;
2007;01;80;ΔΚΠΑΗΓΔΤ΢Ζ;15616;2286;10093;12379;3.23;22.86;22.26;22.37;40.89;32.46;34.05;EDUCATION;
2007;01;85;ΤΓΔΗΑ ΚΑΗ ΚΟΗΝΧΝΗΚΖ ΜΔΡΗΜΝΑ;8437;1521;9568;11089;2.89;24.37;24.40;24.39;41.08;36.61;37.22;HEALTH AND SOCIAL WORK;
2007;01;90;ΓΗΑΘΔ΢Ζ ΛΤΜΑΣΧΝ ΚΑΗ ΑΠΟΡΡΗΜΑΣΧΝ. ΤΓΗΔΗΝΖ ΚΑΗ ΠΑΡΟΜΟΗΔ΢ ΓΡΑ΢ΣΖΡΗΟΣΖΣΔ΢;479;711;182;893;0.23;24.09;23.45;23.96;40.46;36.22;39.62;SEWAGE AND REFUSE DISPOSAL. SANITATION AND SIMILAR ACTIVITIES;
2007;01;91;ΓΡΑ΢ΣΖΡΗΟΣΖΣΔ΢ ΟΡΓΑΝΧ΢ΔΧΝ καθ;2993;2016;2226;4242;1.11;24.35;26.00;25.21;48.36;43.48;45.72;ACTIVITIES OF MEMBERSHIP ORGANIZATIONS NEC;
2007;01;92;ΦΤΥΑΓΧΓΗΚΔ΢.ΠΟΛΗΣΗ΢ΣΗΚΔ΢ ΚΑΗ ΑΘΛΖΣΗΚΔ΢ ΓΡΑ΢ΣΖΡΗΟΣΖΣΔ΢;3625;2848;2578;5426;1.42;24.84;23.63;24.27;39.02;36.57;37.88;RECREATIONAL. CULTURAL AND SPORTING ACTIVITIES;
2007;01;93;ΆΛΛΔ΢ ΓΡΑ΢ΣΖΡΗΟΣΖΣΔ΢ ΠΑΡΟΥΖ΢ ΤΠΖΡΔ΢ΗΧΝ;7567;2428;9155;11583;3.02;23.41;22.45;22.65;34.27;29.96;30.89;OTHER SERVICE ACTIVITIES;
2007;01;95;ΗΓΗΧΣΗΚΑ ΝΟΗΚΟΚΤΡΗΑ ΠΟΤ ΑΠΑ΢ΥΟΛΟΤΝ ΟΗΚΗΑΚΟ ΠΡΟ΢ΧΠΗΚΟ;20667;2599;12290;14889;3.89;24.49;24.37;24.39;28.82;15.80;18.08;PRIVATE HOUSEHOLDS WITH EMPLOYED PERSONS;
2007;01;99;ΔΣΔΡΟΓΗΚΟΗ ΟΡΓΑΝΗ΢ΜΟΗ ΚΑΗ ΟΡΓΑΝΑ;160;162;203;365;0.10;24.47;24.57;24.53;59.46;52.06;55.34;EXTRA-TERRITORIAL ORGANIZATIONS AND BODIES;
2007;01;NA;΢ΤΝΟΛΟ;237276;208727;174484;383211;100;23.49;23.54;23.51;39.18;34.94;37.25;TOTAL;
2007;01; Χο (2) Ο (3) Σα;αξηζκόο επηρεηξήζεσλ ιακβάλεηαη ν αξηζκόο ησλ αζθαιηζκέλσλ δελ είλαη δξαζηεξηόηεηα κεηξάηαη κία θνξά ζηνηρεία αλαθέξνληαη ζηνπο αζθαιηζκέλνπο ηαθηηθέο απνδνρέο ΠΑΡΑΣΗΡΗ΢ΕΙ΢;ζπλνιηθόο αξηζκόο ησλ δηαθξηηόο Δάλ έλαο πνπ εξγάδνληαη;κνλάδσλ αζθαιηζκέλνο κε πιήξεο;(παξαξηεκάησλ) απαζρνιείηαη σξάξην θαη;ησλ ζε ηα κέζα;επηρεηξήζεσλ δηαθνξεηηθνύο εκεξνκίζζηα;εξγνδόηεο πξνθύπηνπλ;κε ηελ κόλν;ίδηα νηθνλνκηθή από ηηο;NA;NA;NA;NA;
2007;01;1 Ζ 2 Σν  The (2) The (3) The;κέζε απαζρόιεζε δελ παξνπζηάδεη γεληθό κέζν εκεξνκίζζην ησλ γπλαηθώλ Number of Enterprises refers to number number of insured individuals is not above figures refer to insured individuals COMMENTS;κεγάιεο απνθιίζεηο είλαη ην 89.19% ηνπ of units (branches) distinctIf the same who are employed;ζρεηηθά κε ην γεληθνύ of each person is full-time;θύιν (άλδξεο. κέζνπ enterprise employed in and their;γπλαίθεο) εκεξνκηζζίνπ ησλ more than average;αλδξώλ one wages per;employers with day do not;the same include leave;economic benefits;activity is & season;counted as one bonuses;NA;NA;
